Common name,Scientific name,Strain,Specimen ID,Age (Days),Gender (M / F),Injections,Perfusion (whole / drop fix),Imaging approach (serial 2p / lightsheet / other) ,Imaging Res X (microns),Imaging Res Y,Imaging Res Z,Imaging channel to use ,Imaging quality ,Data path (raw),comments
rat,Rattus norvegicus domestica ,Lister Hooded,ATL01,50-80,F,"none",,serial 2p,4.033,4.033,6.3,green,OK,/ceph/akrami/_projects/rat_atlas/rawdata/sub-01_id-ATL01/ses-01_dtype-serial2p/2pe,
rat,Rattus norvegicus domestica ,Lister Hooded,ATL02,50-80,F,"none",,serial 2p,2.278,2.278,5,green,OK,/ceph/akrami/_projects/rat_atlas/rawdata/sub-02_id-ATL02/ses-01_dtype-serial2p/2pe,
rat,Rattus norvegicus domestica ,Lister Hooded,ATL03,50-80,F,"none",,serial 2p,2.504,2.504,5,green,OK,/ceph/akrami/_projects/rat_atlas/rawdata/sub-03_id-ATL03/ses-01_dtype-serial2p/2pe,
rat,Rattus norvegicus domestica ,Lister Hooded,ATL04,50-80,F,"none",,serial 2p,2.278,2.278,5,green,OK,/ceph/akrami/_projects/rat_atlas/rawdata/sub-04_id-ATL04/ses-01_dtype-serial2p/2pe,
rat,Rattus norvegicus domestica ,Lister Hooded,ATL05,50-80,F,"none",,serial 2p,2.278,2.278,5,green,OK,/ceph/akrami/_projects/rat_atlas/rawdata/sub-05_id-ATL05/ses-01_dtype-serial2p/2pe,
rat,Rattus norvegicus domestica ,Lister Hooded,ATL06,50-80,F,"none",,serial 2p,4.033,4.033,6.3,green,OK,/ceph/akrami/_projects/rat_atlas/rawdata/sub-06_id-ATL06/ses-01_dtype-serial2p/2pe,
rat,Rattus norvegicus domestica ,Lister Hooded,ATL07,50-80,F,"none",,serial 2p,4.006,4.006,6.3,red,OK,/ceph/akrami/_projects/rat_atlas/rawdata/sub-07_id-ATL07/ses-01_dtype-serial2p/2pe,
rat,Rattus norvegicus domestica ,Lister Hooded,ATL08,50-80,F,"none",,serial 2p,4.033,4.033,6.3,green,OK,/ceph/akrami/_projects/rat_atlas/rawdata/sub-08_id-ATL08/ses-01_dtype-serial2p/2pe,
rat,Rattus norvegicus domestica ,Lister Hooded,ATL09,50-80,F,"none",,serial 2p,4.033,4.033,6.3,green,OK,/ceph/akrami/_projects/rat_atlas/rawdata/sub-09_id-ATL09/ses-01_dtype-serial2p/2pe,
rat,Rattus norvegicus domestica ,Lister Hooded,CAP02,60-80,F,"IV,  AAV (low or no expression)",,serial 2p,2.476,2.476,5.7,red,dark tiles & some labelled cells,/ceph/akrami/_projects/rat_atlas/rawdata/sub-10_id-CAP02,
rat,Rattus norvegicus domestica ,Lister Hooded,CAP03,60-80,F,"IV,  AAV (low or no expression)",,serial 2p,2.278,2.278,5.7,green,looks ok,/ceph/akrami/_projects/rat_atlas/rawdata/sub-11_id-CAP03,
rat,Rattus norvegicus domestica ,Lister Hooded,CAP08,60-80,F,"IV,  AAV (low or no expression)",,serial 2p,2.212,2.212,6,green,missing tiles & some labelled neurons,/ceph/akrami/_projects/rat_atlas/rawdata/sub-12_id-CAP08,
rat,Rattus norvegicus domestica ,Lister Hooded,CAP11,60-80,F,"IV,  AAV (low or no expression)",,serial 2p,2.476,2.476,7.1,red,missing tiles,/ceph/akrami/_projects/rat_atlas/rawdata/sub-13_id-CAP11,
rat,Rattus norvegicus domestica ,Lister Hooded,CAP33,60-80,F,"IV,  AAV (low or no expression)",,serial 2p,2.278,2.278,6.3,red,looks good,/ceph/akrami/_projects/rat_atlas/rawdata/sub-14_id-CAP33,
rat,Rattus norvegicus domestica ,Lister Hooded,CAP38,60-80,F,"IV,  AAV (low or no expression)",,serial 2p,1.205,1.205,6.3,green,damaged cortex,/ceph/akrami/_projects/rat_atlas/rawdata/sub-15_id-CAP38,
